development_name,building_number,address,interruptions,scheduled_datetime,buildings,units,population
JUSTICE SONIA SOTOMAYOR HOUSES,4,"1010 SOUNDVIEW AVENUE BRONX, NY 10472",Elevator PARTIAL SERVICE,2020-01-27 08:00:00,1,54,109
JUSTICE SONIA SOTOMAYOR HOUSES,5,"1020 SOUNDVIEW AVENUE BRONX, NY 10472",Elevator PARTIAL SERVICE,2020-01-27 08:30:00,1,54,110
POMONOK,3,"65-24 PARSONS BLVD. QUEENS, NY 11365",Elevator PARTIAL SERVICE,2020-01-27 10:00:00,1,28,62
