development_name,building_number,address,interruptions,planned,reported_datetime,restoration_hours,buildings,units,population
1162-1176 WASHINGTON AVENUE,1,"1162 WASHINGTON AVENUE BRONX, NY 10456",Elevator NO SERVICE,Unplanned,2020-01-24 05:49:00,6,1,66,169
ADAMS,7,"815 EAST 152ND STREET BRONX, NY 10455",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 16:49:00,21,1,143,402
AMSTERDAM,5,"216 WEST 63RD STREET NEW YORK, NY 10023",Elevator NO SERVICE,Unplanned,2020-01-24 11:29:00,2,1,30,60
ASTORIA,2,"28-02 8TH STREET QUEENS, NY 11102",Elevator NO SERVICE,Unplanned,2020-01-24 20:55:00,2,1,48,133
BAISLEY PARK,1,"164-01 FOCH BOULEVARD QUEENS, NY 11434",Elevator NO SERVICE,Unplanned,2020-01-24 22:44:00,7,1,77,187
BARUCH,10,"105 BARUCH DRIVE NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,2020-01-25 14:22:00,4,1,67,149
BARUCH,2,"571 FDR DRIVE NEW YORK, NY 10002",Elevator NO SERVICE,Unplanned,2020-01-24 21:27:00,18,1,67,149
BARUCH HOUSES ADDITION,18,"72 COLUMBIA STREET NEW YORK, NY 10002",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 19:35:00,15,1,197,241
BAY VIEW,13,"1590 EAST 102ND STREET BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,2020-01-24 11:54:00,3,1,70,134
BEACH 41ST STREET-BEACH CHANNEL DRIVE,3,"38-08 BEACH CHANNEL DRIVE QUEENS, NY 11691",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 07:42:00,7,1,120,276
BORINQUEN PLAZA I,1,"30 MANHATTAN AVENUE BROOKLYN, NY 11206",Elevator NO SERVICE,Unplanned,2020-01-25 09:23:00,4,1,51,165
BOULEVARD,1,"785 SCHENCK AVENUE BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,2020-01-24 15:55:00,3,1,36,66
BREUKELEN,8,"719 EAST 103RD STREET BROOKLYN, NY 11236",Elevator NO SERVICE,Unplanned,2020-01-25 12:52:00,3,1,35,72
BRONX RIVER,1,"1455 HARROD AVENUE BRONX, NY 10472",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 07:45:00,3,1,140,352
BROWNSVILLE,4,"557 ROCKAWAY AVENUE BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,2020-01-24 16:16:00,3,1,36,103
BUSHWICK,7,"140 MOORE STREET BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 22:02:00,13,1,113,300
BUSHWICK,3,"849 FLUSHING AVENUE BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 11:12:00,0,1,194,390
BUTLER,3,"1368 WEBSTER AVENUE BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 04:23:00,10,1,247,702
CAMPOS PLAZA II,4,"612 EAST 14TH STREET NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 15:04:00,4,1,128,258
CAREY GARDENS,3,"2832 WEST 23RD STREET BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 16:45:00,44,1,214,510
CARVER,12,"60 EAST 106TH STREET NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 14:03:00,1,1,120,268
CASSIDY-LAFAYETTE,3,"115 CASSIDY PLACE STATEN ISLAND, NY 103011160",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 10:55:00,2,1,78,97
CASTLE HILL,13,"2225 LACOMBE AVENUE BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 08:05:00,8,1,142,312
CASTLE HILL,7,"530 OLMSTEAD AVENUE BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 14:44:00,8,1,157,415
CASTLE HILL,6,"575 CASTLE HILL AVENUE BRONX, NY 10473",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 00:53:00,4,1,142,322
CHELSEA,2,"415 WEST 25TH STREET NEW YORK, NY 10001",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 09:19:00,3,1,121,225
CLINTON,3,"1738 LEXINGTON AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 15:33:00,19,1,139,314
CYPRESS HILLS,14,"2535 LINDEN BOULEVARD BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,2020-01-23 19:29:00,8,1,49,109
CYPRESS HILLS,15,"515 FOUNTAIN AVENUE BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,2020-01-25 12:17:00,2,1,49,97
DOUGLASS II,13,"140 WEST 104TH STREET NEW YORK, NY 10025",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 11:17:00,3,1,136,287
DREW-HAMILTON,5,"200 WEST 143RD STREET NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 12:37:00,3,1,240,511
DREW-HAMILTON,2,"2680 F DOUGLASS BOULEVARD NEW YORK, NY 10030",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 10:10:00,5,1,244,520
