development_name,building_number,address,interruptions,planned,reported_datetime,restoration_hours,buildings,units,population
PELHAM PARKWAY,17,"820 ASTOR AVENUE BRONX, NY 10467",Elevator NO SERVICE,Unplanned,2020-01-25 14:58:00,4,1,30,45
PINK,7,"1209 LORING AVENUE BROOKLYN, NY 11208",Elevator NO SERVICE,Unplanned,2020-01-25 21:30:00,2,1,78,180
POLO GROUNDS TOWERS,1,"2937 F DOUGLASS BOULEVARD NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 16:22:00,28,1,208,424
POLO GROUNDS TOWERS,3,"2949 F DOUGLASS BOULEVARD NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 07:58:00,4,1,210,475
POLO GROUNDS TOWERS,3,"2955 F DOUGLASS BOULEVARD NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 07:57:00,3,1,208,470
QUEENSBRIDGE NORTH,1,"40-01 12TH STREET QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,2020-01-25 09:37:00,3,1,36,71
QUEENSBRIDGE NORTH,22,"40-14 VERNON BLVD. QUEENS, NY 11101",Elevator NO SERVICE,Unplanned,2020-01-25 13:40:00,4,1,30,70
RANGEL,6,"159-64 HARLEM RIVER DRIVE NEW YORK, NY 10039",Elevator PARTIAL SERVICE,Unplanned,2020-01-23 22:01:00,40,1,112,269
RED HOOK WEST,1,"80 DWIGHT STREET BROOKLYN, NY 11231",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 15:10:00,11,1,97,218
RED HOOK WEST,1,"82 DWIGHT STREET BROOKLYN, NY 11231",Elevator PARTIAL SERVICE,Unplanned,2020-01-26 07:32:00,4,1,104,233
RED HOOK WEST,25,"9 LORRAINE STREET BROOKLYN, NY 11231",Elevator NO SERVICE,Unplanned,2020-01-25 14:41:00,4,1,36,71
RIIS,2,"170 AVENUE D NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 17:52:00,6,1,117,216
RUTLAND TOWERS,1,"955 RUTLAND ROAD BROOKLYN, NY 11212",Elevator NO SERVICE,Unplanned,2020-01-25 07:55:00,2,1,61,99
SAINT NICHOLAS,5,"217 WEST 127TH STREET NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 23:14:00,4,1,109,237
SAINT NICHOLAS,9,"225 WEST 129TH STREET NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 06:29:00,21,1,110,324
SAINT NICHOLAS,2,"240 WEST 129TH STREET NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 14:19:00,6,1,109,233
SAINT NICHOLAS,7,"255 WEST 127TH STREET NEW YORK, NY 10027",Elevator NO SERVICE,Unplanned,2020-01-26 09:10:00,2,1,111,265
SAINT NICHOLAS,13,"200 WEST 131ST STREET NEW YORK, NY 10027",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 11:44:00,8,1,108,255
SEDGWICK,3,"160 WEST 174TH STREET BRONX, NY 10453",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 05:50:00,8,1,116,210
SOUTH JAMAICA II,23,"109-10 160TH STREET QUEENS, NY 11433",Elevator NO SERVICE,Unplanned,2020-01-25 15:45:00,3,1,52,105
SURFSIDE GARDENS,4,"2839 WEST 33RD STREET BROOKLYN, NY 11224",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 11:32:00,13,1,107,234
TOMPKINS,8,"77 TOMPKINS AVENUE BROOKLYN, NY 11206",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 17:31:00,4,1,123,348
UNITY PLAZA (SITES 4-27),3,"375 WILLIAMS AVENUE BROOKLYN, NY 11207",Elevator NO SERVICE,Unplanned,2020-01-25 17:24:00,3,1,30,74
WAGNER,10,"40 PALADINO AVENUE NEW YORK, NY 10035",Elevator NO SERVICE,Unplanned,2020-01-26 08:51:00,3,1,54,96
WALD,8,"930 EAST 4TH WALK NEW YORK, NY 10009",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 15:08:00,8,1,130,246
WASHINGTON,12,"1851 3RD AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 10:27:00,4,1,108,248
WASHINGTON,4,"1905 2ND AVENUE NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 18:48:00,5,1,108,235
WEBSTER,4,"421 EAST 168TH STREET BRONX, NY 10456",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 12:46:00,2,1,121,350
WHITMAN,4,"149 NORTH PORTLAND AVENUE BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,2020-01-25 13:58:00,10,1,42,85
WHITMAN,6,"127 NORTH PORTLAND AVENUE BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,2020-01-25 16:40:00,3,1,30,72
WHITMAN,1,"131 CUMBERLAND WALK BROOKLYN, NY 11205",Elevator NO SERVICE,Unplanned,2020-01-25 19:34:00,3,1,40,93
WILSON,3,"435 EAST 105TH STREET NEW YORK, NY 10029",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 12:46:00,30,1,152,417
WISE TOWERS,2,"136 WEST 91ST STREET NEW YORK, NY 10024",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 10:15:00,10,1,109,172
WSUR (SITE C) 589 AMSTERDAM AVENUE,1,"589 AMSTERDAM AVENUE NEW YORK, NY 10024",Elevator PARTIAL SERVICE,Unplanned,2020-01-24 19:30:00,10,1,158,335
WYCKOFF GARDENS,2,"185 NEVINS STREET BROOKLYN, NY 11217",Elevator PARTIAL SERVICE,Unplanned,2020-01-25 08:53:00,2,1,174,371
