development_name,building_number,address,interruptions,scheduled_datetime,buildings,units,population
ISAACS,,"1806 1ST AVENUE NEW YORK, NY 10128 Line E",Electric NO SERVICE,2020-01-27 10:00:00,1,23,34
ISAACS,,"1806 1ST AVENUE NEW YORK, NY 10128 Line F",Electric NO SERVICE,2020-01-28 10:00:00,1,23,115
ISAACS,,"1806 1ST AVENUE NEW YORK, NY 10128 Line G",Electric NO SERVICE,2020-01-29 16:59:00,1,23,33
ISAACS,,"1806 1ST AVENUE NEW YORK, NY 10128 Line H",Electric NO SERVICE,2020-01-30 10:00:00,1,23,39
ISAACS,,"1806 1ST AVENUE NEW YORK, NY 10128 Line J",Electric NO SERVICE,2020-01-31 10:00:00,1,23,35
